,phonemes,overlap / correlation
596,"['ɔ', 'h']",0.31
597,"['ɔ', 'kʷ']",-0.03
598,"['ɔ', 'gʷ']",-0.02
599,"['ɔ', 'xʷ']",-0.02
600,"['y', 'w']",0.51
601,"['y', 'ɛ']",0.57
602,"['y', 'r']",-0.2
603,"['y', 'l']",-0.33
604,"['y', 'p']",-0.45
605,"['y', 'b']",-0.25
606,"['y', 'f']",-0.08
607,"['y', 'v']",0.06
608,"['y', 'm']",-0.08
609,"['y', 't']",-0.54
610,"['y', 'd']",-0.36
611,"['y', 'θ']",-0.36
612,"['y', 'ð']",-0.2
613,"['y', 'n']",-0.2
614,"['y', 's']",-0.2
615,"['y', 'z']",-0.06
616,"['y', 'c']",-0.36
617,"['y', 'č']",0.19
618,"['y', 'ǰ']",0.33
619,"['y', 'š']",0.33
620,"['y', 'ž']",0.47
621,"['y', 'k']",0.11
622,"['y', 'g']",0.25
623,"['y', 'x']",0.25
624,"['y', 'ŋ']",0.33
625,"['y', 'h']",-0.13
626,"['y', 'kʷ']",-0.02
627,"['y', 'gʷ']",0.12
628,"['y', 'xʷ']",0.12
629,"['w', 'ɛ']",0.19
630,"['w', 'r']",-0.34
631,"['w', 'l']",-0.5
632,"['w', 'p']",-0.34
633,"['w', 'b']",-0.25
634,"['w', 'f']",-0.18
635,"['w', 'v']",-0.13
636,"['w', 'm']",-0.18
637,"['w', 't']",-0.48
638,"['w', 'd']",-0.4
639,"['w', 'θ']",-0.4
640,"['w', 'ð']",-0.34
641,"['w', 'n']",-0.34
642,"['w', 's']",-0.34
643,"['w', 'z']",-0.29
644,"['w', 'c']",-0.4
645,"['w', 'č']",0.03
646,"['w', 'ǰ']",0.08
647,"['w', 'š']",0.08
648,"['w', 'ž']",0.13
649,"['w', 'k']",0.3
650,"['w', 'g']",0.33
651,"['w', 'x']",0.33
652,"['w', 'ŋ']",0.5
653,"['w', 'h']",-0.08
654,"['w', 'kʷ']",0.54
655,"['w', 'gʷ']",0.56
656,"['w', 'xʷ']",0.56
657,"['ɛ', 'r']",0.06
658,"['ɛ', 'l']",-0.06
659,"['ɛ', 'p']",-0.41
660,"['ɛ', 'b']",-0.09
661,"['ɛ', 'f']",0.17
662,"['ɛ', 'v']",0.42
663,"['ɛ', 'm']",0.17
664,"['ɛ', 't']",-0.49
665,"['ɛ', 'd']",-0.2
666,"['ɛ', 'θ']",-0.2
667,"['ɛ', 'ð']",0.06
668,"['ɛ', 'n']",0.06
669,"['ɛ', 's']",0.06
670,"['ɛ', 'z']",0.31
671,"['ɛ', 'c']",-0.2
672,"['ɛ', 'č']",-0.2
673,"['ɛ', 'ǰ']",0.06
674,"['ɛ', 'š']",0.06
675,"['ɛ', 'ž']",0.31
676,"['ɛ', 'k']",-0.43
677,"['ɛ', 'g']",-0.14
678,"['ɛ', 'x']",-0.14
679,"['ɛ', 'ŋ']",0.06
680,"['ɛ', 'h']",0.03
681,"['ɛ', 'kʷ']",-0.51
682,"['ɛ', 'gʷ']",-0.24
683,"['ɛ', 'xʷ']",-0.24
684,"['r', 'l']",0.83
685,"['r', 'p']",0.05
686,"['r', 'b']",0.26
687,"['r', 'f']",0.07
688,"['r', 'v']",0.27
689,"['r', 'm']",0.07
690,"['r', 't']",0.26
691,"['r', 'd']",0.45
692,"['r', 'θ']",0.45
693,"['r', 'ð']",0.63
694,"['r', 'n']",0.27
695,"['r', 's']",0.27
696,"['r', 'z']",0.46
697,"['r', 'c']",0.07
698,"['r', 'č']",0.07
699,"['r', 'ǰ']",0.27
700,"['r', 'š']",0.27
701,"['r', 'ž']",0.46
702,"['r', 'k']",-0.15
703,"['r', 'g']",0.06
704,"['r', 'x']",0.06
